,nodes,louvain_nx,leiden_nx,walktrap_nx,walktrap_ig,girvan_newman_nx,girvan_newman_ig,markov_nx,lead_eigenvector_nx,lead_eigenvector_ig,optimal_mod_ig,infomap_nx,infomap_ig,fast_greedy_ig,multilevel_ig,spinglass_nx,spinglass_ig,label_prop_nx,label_prop_ig
297,"(10, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,"(10, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,"(10, 25)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,"(10, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,"(10, 27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"(10, 28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,"(10, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,"(10, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,"(10, 31)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,"(10, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,"(10, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,"(11, 12)",1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
309,"(11, 13)",1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1
310,"(11, 14)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
311,"(11, 15)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
312,"(11, 16)",0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1
313,"(11, 17)",1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1
314,"(11, 18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,"(11, 19)",1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
316,"(11, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,"(11, 21)",1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
318,"(11, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,"(11, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,"(11, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,"(11, 25)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
322,"(11, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,"(11, 27)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
324,"(11, 28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,"(11, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,"(11, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,"(11, 31)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,"(11, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,"(11, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,"(12, 13)",1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
331,"(12, 14)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
332,"(12, 15)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
333,"(12, 16)",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
334,"(12, 17)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
335,"(12, 18)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,"(12, 19)",1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1
337,"(12, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,"(12, 21)",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
339,"(12, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"(12, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,"(12, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,"(12, 25)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
343,"(12, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,"(12, 27)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
345,"(12, 28)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,"(12, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,"(12, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,"(12, 31)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,"(12, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,"(12, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,"(13, 14)",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
352,"(13, 15)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
353,"(13, 16)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
354,"(13, 17)",1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1
355,"(13, 18)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,"(13, 19)",1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1
357,"(13, 20)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,"(13, 21)",1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
359,"(13, 22)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,"(13, 23)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,"(13, 24)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,"(13, 25)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
363,"(13, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,"(13, 27)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
365,"(13, 28)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,"(13, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,"(13, 30)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,"(13, 31)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,"(13, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,"(13, 33)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,"(14, 15)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
372,"(14, 16)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
373,"(14, 17)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
374,"(14, 18)",1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
375,"(14, 19)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,"(14, 20)",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
377,"(14, 21)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,"(14, 22)",1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
379,"(14, 23)",0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1
380,"(14, 24)",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
381,"(14, 25)",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
382,"(14, 26)",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
383,"(14, 27)",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
384,"(14, 28)",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
385,"(14, 29)",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
386,"(14, 30)",1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
387,"(14, 31)",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
388,"(14, 32)",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
389,"(14, 33)",1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
390,"(15, 16)",0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
391,"(15, 17)",0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
392,"(15, 18)",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
393,"(15, 19)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,"(15, 20)",1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
395,"(15, 21)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,"(15, 22)",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
397,"(15, 23)",0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1
398,"(15, 24)",0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
399,"(15, 25)",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
400,"(15, 26)",1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
401,"(15, 27)",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
402,"(15, 28)",0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
403,"(15, 29)",1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
404,"(15, 30)",1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1
405,"(15, 31)",0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1
406,"(15, 32)",1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
407,"(15, 33)",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
408,"(16, 17)",0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
409,"(16, 18)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
410,"(16, 19)",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
411,"(16, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,"(16, 21)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
413,"(16, 22)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
414,"(16, 23)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
415,"(16, 24)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
416,"(16, 25)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,"(16, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,"(16, 27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,"(16, 28)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
420,"(16, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,"(16, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,"(16, 31)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
423,"(16, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,"(16, 33)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
425,"(17, 18)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
426,"(17, 19)",1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1
427,"(17, 20)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,"(17, 21)",1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1
429,"(17, 22)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
430,"(17, 23)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
431,"(17, 24)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
432,"(17, 25)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,"(17, 26)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,"(17, 27)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,"(17, 28)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
436,"(17, 29)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,"(17, 30)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,"(17, 31)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
439,"(17, 32)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,"(17, 33)",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
441,"(18, 19)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
442,"(18, 20)",1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
443,"(18, 21)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
444,"(18, 22)",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
445,"(18, 23)",0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1
446,"(18, 24)",0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
447,"(18, 25)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
448,"(18, 26)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
449,"(18, 27)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
450,"(18, 28)",0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
451,"(18, 29)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
452,"(18, 30)",1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
453,"(18, 31)",0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
454,"(18, 32)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
455,"(18, 33)",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
456,"(19, 20)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
457,"(19, 21)",1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1
458,"(19, 22)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
459,"(19, 23)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
460,"(19, 24)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
461,"(19, 25)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
462,"(19, 26)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
463,"(19, 27)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
464,"(19, 28)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
465,"(19, 29)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
466,"(19, 30)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
467,"(19, 31)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
468,"(19, 32)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
469,"(19, 33)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
470,"(20, 21)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
471,"(20, 22)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
472,"(20, 23)",0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1
473,"(20, 24)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
474,"(20, 25)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
475,"(20, 26)",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
476,"(20, 27)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
477,"(20, 28)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
478,"(20, 29)",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
479,"(20, 30)",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
480,"(20, 31)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
481,"(20, 32)",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
482,"(20, 33)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
483,"(21, 22)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
484,"(21, 23)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
485,"(21, 24)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
486,"(21, 25)",0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
487,"(21, 26)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
488,"(21, 27)",0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
489,"(21, 28)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
490,"(21, 29)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
491,"(21, 30)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
492,"(21, 31)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
493,"(21, 32)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
494,"(21, 33)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
495,"(22, 23)",0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1
496,"(22, 24)",0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
497,"(22, 25)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
498,"(22, 26)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
499,"(22, 27)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
500,"(22, 28)",0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
501,"(22, 29)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
502,"(22, 30)",1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
503,"(22, 31)",0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
504,"(22, 32)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
505,"(22, 33)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
506,"(23, 24)",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
507,"(23, 25)",1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1
508,"(23, 26)",0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1
509,"(23, 27)",1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1
510,"(23, 28)",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
511,"(23, 29)",0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1
512,"(23, 30)",0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1
513,"(23, 31)",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
514,"(23, 32)",0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1
515,"(23, 33)",0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1
516,"(24, 25)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
517,"(24, 26)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
518,"(24, 27)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
519,"(24, 28)",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
520,"(24, 29)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
521,"(24, 30)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
522,"(24, 31)",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
523,"(24, 32)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
524,"(24, 33)",0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
525,"(25, 26)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
526,"(25, 27)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
527,"(25, 28)",1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
528,"(25, 29)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
529,"(25, 30)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
530,"(25, 31)",1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
531,"(25, 32)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
532,"(25, 33)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
533,"(26, 27)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
534,"(26, 28)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
535,"(26, 29)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
536,"(26, 30)",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
537,"(26, 31)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
538,"(26, 32)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
539,"(26, 33)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
540,"(27, 28)",1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
541,"(27, 29)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
542,"(27, 30)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
543,"(27, 31)",1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
544,"(27, 32)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
545,"(27, 33)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
546,"(28, 29)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
547,"(28, 30)",0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1
548,"(28, 31)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
549,"(28, 32)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
550,"(28, 33)",0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
551,"(29, 30)",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
552,"(29, 31)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
553,"(29, 32)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
554,"(29, 33)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
555,"(30, 31)",0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1
556,"(30, 32)",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
557,"(30, 33)",1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
558,"(31, 32)",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1
559,"(31, 33)",0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1
560,"(32, 33)",1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
